0	405
1	2537
10	2134
100	227
1000	5474
1001	4669
1002	2537
1003	5474
1004	2537
1005	2537
1006	2185
1007	2185
1008	2537
1009	2185
101	227
1010	227
1011	265
1012	2626
1013	2537
1014	2537
1015	4669
1016	3620
1017	265
1018	4759
1019	2185
102	227
1020	2626
1021	4669
1022	405
1023	2626
1024	3233
1025	227
1026	4669
1027	2537
1028	4669
1029	265
103	227
1030	265
1031	265
1032	227
1033	2185
1034	265
1035	4669
1036	3620
1037	3620
1038	2185
1039	265
104	227
1040	2185
1041	3620
1042	3620
1043	265
1044	2626
1045	265
1046	2626
1047	4669
1048	2537
1049	4669
105	227
1050	227
1051	2537
1052	405
1053	2537
1054	405
1055	2626
1056	3620
1057	2537
1058	2626
1059	405
106	227
1060	2626
1061	2626
1062	2626
1063	265
1064	2185
1065	2626
1066	2626
1067	2626
1068	2626
1069	405
107	227
1070	405
1071	405
1072	227
1073	227
1074	227
1075	2626
1076	265
1077	2626
1078	227
1079	227
108	227
1080	3620
1081	265
1082	3620
1083	3620
1084	2537
1085	2537
1086	2185
1087	2185
1088	2537
1089	3620
109	227
1090	227
1091	227
1092	2537
1093	4669
1094	5474
1095	2626
1096	3620
1097	2537
1098	2537
1099	2537
11	227
110	227
1100	844
1101	227
1102	2185
1103	3620
1104	3620
1105	2185
1106	2185
1107	265
1108	2185
1109	265
111	227
1110	265
1111	227
1112	2185
1113	2537
1114	4669
1115	2626
1116	2626
1117	2626
1118	3620
1119	2626
112	227
1120	2626
1121	2626
1122	3620
1123	265
1124	2537
1125	405
1126	4669
1127	2185
1128	405
1129	265
113	227
1130	4669
1131	3620
1132	2626
1133	227
1134	3620
1135	2185
1136	2537
1137	3620
1138	2626
1139	405
114	227
1140	4669
1141	844
1142	2537
1143	4669
1144	2626
1145	3620
1146	2537
1147	2626
1148	2626
1149	2626
115	227
1150	2626
1151	4669
1152	4669
1153	2537
1154	4669
1155	3620
1156	2185
1157	3620
1158	405
1159	2626
116	227
1160	265
1161	2185
1162	2537
1163	2537
1164	2185
1165	2626
1166	227
1167	2626
1168	4759
1169	227
117	227
1170	2537
1171	2626
1172	2185
1173	265
1174	3233
1175	4669
1176	3620
1177	2626
1178	3620
1179	2626
118	227
1180	2626
1181	227
1182	2185
1183	3620
1184	2537
1185	2537
1186	2537
1187	405
1188	2537
1189	4669
119	227
1190	2537
1191	405
1192	3620
1193	2537
1194	2537
1195	2537
1196	227
1197	4669
1198	227
1199	227
12	227
120	227
1200	227
1201	2537
1202	2626
1203	2185
1204	2185
1205	2537
1206	2626
1207	2626
1208	2626
1209	2626
121	227
1210	2626
1211	2626
1212	2626
1213	2626
1214	265
1215	2537
1216	4669
1217	265
1218	227
1219	2626
122	227
1220	2537
1221	2537
1222	2537
1223	227
1224	227
1225	3620
1226	2626
1227	265
1228	4669
1229	2537
123	227
1230	265
