glp|0.0|1.0|0.0|0.25|0.25|0.75|1.0|1.0|0.25|1.0|1.0|0.0|0.25|0.0|0.0|0.0|0.25|1.0|0.25|0.75|0.25|0.75|0.75|0.75|0.75|0.0|1.0|1.0|1.0|0.25|0.25|1.0|0.0|0.75|0.25|0.75|0.75|1.0|1.0|0.75|1.0|1.0|1.0|1.0|0.0|0.25|0.25|0.0|1.0|0.0|1.0|1.0|1.0|1.0|1.0|0.75|0.75|0.75|0.25|1.0|0.75|1.0|0.75|1.0|0.5|0.25|1.0|1.0|0.0|1.0|1.0|0.5|0.75|0.0|0.75
glp|0.75|1.0|0.0|0.75|0.0|0.25|0.75|0.25|0.75|0.25|1.0|0.0|0.75|0.75|0.0|0.25|0.25|0.0|0.75|0.0|0.75|0.75|1.0|0.75|0.25|0.25|0.25|0.25|0.75|0.0|0.0|0.25|0.75|0.75|0.0|0.75|0.25|1.0|1.0|0.25|1.0|1.0|1.0|0.75|0.0|0.25|0.25|0.25|1.0|0.0|1.0|1.0|1.0|0.75|1.0|0.0|0.75|0.0|0.0|0.0|1.0|0.75|0.75|1.0|0.5|0.0|0.5|0.75|0.25|0.75|0.75|0.5|0.5|0.5|0.75
glp|0.0|1.0|0.25|0.75|0.75|0.25|1.0|0.25|1.0|0.25|1.0|0.25|0.75|0.25|0.25|0.0|1.0|0.0|0.75|0.0|1.0|1.0|1.0|1.0|0.0|0.0|0.75|0.25|1.0|0.0|0.75|0.75|1.0|0.75|0.25|0.25|0.25|1.0|1.0|0.25|1.0|1.0|1.0|0.25|0.0|0.25|0.25|0.75|0.75|0.0|1.0|1.0|1.0|1.0|1.0|0.25|0.0|0.25|0.0|1.0|1.0|0.75|1.0|0.75|0.5|0.25|0.75|0.5|0.5|0.75|0.75|0.5|0.5|0.25|1.0
glp|0.75|1.0|0.0|0.75|0.75|0.25|1.0|0.75|0.75|0.75|1.0|0.0|0.25|0.25|0.0|0.0|0.25|0.25|0.0|0.0|1.0|1.0|1.0|0.75|0.0|1.0|0.25|1.0|1.0|0.75|1.0|0.25|1.0|0.75|0.0|0.75|0.0|1.0|0.25|0.0|0.75|1.0|1.0|0.75|0.0|1.0|1.0|0.25|1.0|0.0|0.75|0.75|1.0|1.0|0.0|1.0|1.0|0.25|0.0|0.75|1.0|1.0|1.0|1.0|0.75|0.0|0.5|0.75|0.5|0.75|0.75|0.5|0.25|0.25|1.0
SP|0.25|1.0|0.0|0.75|1.0|0.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.25|0.75|1.0|1.0|0.0|1.0|0.0|1.0|1.0|1.0|0.25|0.75|0.75|1.0|0.75|0.0|0.0|0.0|0.75|0.0|0.75|0.75|1.0|1.0|1.0|0.75|0.0|0.75|1.0|1.0|0.75|0.0|0.75|0.25|0.0|0.75|0.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|0.75|1.0|1.0|1.0|1.0|1.0|0.5|0.0|0.5|1.0|0.25|0.5|1.0|0.75|0.5|0.0|1.0
SP|0.0|1.0|0.0|0.75|0.75|0.25|0.75|1.0|1.0|1.0|1.0|0.25|0.75|0.0|0.75|1.0|0.75|0.0|0.75|0.25|1.0|1.0|1.0|1.0|1.0|0.0|1.0|1.0|0.25|0.0|0.0|1.0|0.0|1.0|0.75|1.0|1.0|1.0|1.0|0.25|1.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|1.0|1.0|1.0|0.25|0.25|0.0|0.0|0.25|1.0|0.75|1.0|1.0|0.5|0.0|0.75|1.0|0.0|1.0|0.75|0.5|1.0|0.5|1.0
FDP|0.75|0.25|0.25|0.0|0.0|0.75|1.0|0.25|0.25|1.0|1.0|0.0|0.75|0.75|0.75|0.0|0.25|0.75|0.75|0.0|0.0|0.25|1.0|0.0|0.0|0.75|0.0|0.0|1.0|1.0|0.75|0.0|1.0|0.25|0.0|0.0|0.75|1.0|0.75|0.0|0.0|1.0|0.75|0.25|0.0|0.75|0.75|0.25|0.75|0.0|0.75|0.25|0.75|0.75|0.75|0.0|1.0|0.75|0.0|0.75|1.0|1.0|1.0|0.75|0.25|0.0|0.5|0.75|0.5|1.0|1.0|0.5|0.25|0.0|1.0
SVP|0.75|0.0|0.75|0.0|0.0|1.0|0.75|0.0|0.0|1.0|0.0|0.0|0.0|0.75|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.75|1.0|1.0|0.0|0.75|0.25|0.0|0.75|0.0|1.0|0.75|0.25|1.0|0.25|0.0|0.25|0.25|0.25|0.75|1.0|0.25|1.0|0.0|0.25|0.0|0.0|0.0|1.0|0.75|0.75|0.0|0.25|0.0|0.0|0.0|0.75|0.75|0.75|0.0|0.25|0.75|0.25|0.75|0.5|0.25|0.25|0.0
MCG|0.75|0.75|0.75|0.75|0.25|0.75|0.0|0.75|1.0|0.0|0.75|0.0|0.25|0.25|0.25|0.0|0.75|1.0|0.0|1.0|0.0|0.75|1.0|0.75|0.75|1.0|0.75|0.75|0.75|0.25|1.0|0.25|0.25|0.75|0.0|1.0|0.25|1.0|1.0|0.0|1.0|1.0|0.75|0.75|0.0|1.0|0.25|1.0|1.0|0.25|0.0|1.0|1.0|0.0|1.0|0.75|0.25|1.0|0.0|0.25|0.25|0.75|0.25|1.0|1.0|1.0|0.75|1.0|1.0|1.0|1.0|0.5|0.75|0.75|0.25
SVP|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.75|0.75|0.25|0.5|0.5|0.5|0.5|0.25|0.25|0.5|0.0
