O'Maonlai Colm,A Place to Stay (2003)
Coster Jane,The Magnificent Six and ½: The Ski Wheelers (1971)
Lund Jørgen,Gøngehøvdingen (1909)
Walter Johnny,Drifter (2012/III)
Allison Dana (II),Welcome to Los Angeles (2012)
Petrovsky G.,Kreiser Varyag (1947)
Hawkins Richard L.,Close Encounters of the Third Kind (1977)
Buckley Erin Christine,Guess Who's Coming to Supper? (2011)
Janssen Walter (I),Der Tänzer (1919)
Frank Brigitte (I),Seitenstraße der Prostitution (1967)
López Julio (I),Gran valor (1980)
Wang Kuang Yu,Quan ji (1971)
Abdelhafid Ami,Sahara (1985)
Colbin Rod,The Gumball Rally (1976)
Brillante Nino del,Los amores de un torero (1945)
Brecher Egon,The White Angel (1936)
Guinet Philippe (II),Les deux mondes (2007)
Moss Jesse (II),Tucker and Dale vs Evil (2010)
Minoo the Mystic,Asiai Sitara (1937)
Bolding Adrian,Felony (1995)
Aikman Laura,Surviving Picasso (1996)
Rouviere Koby,Greenberg (2010)
Lancaster Rita,Caesar and Cleopatra (1945)
Mandrack Kelli,Twisted (2003)
Shea John (I),Pitch (2006)
Esposito Laura (II),The Perfect Candidate (2004)
Ruszt József,Boldogtalan kalap (1981)
Suurkask Liisa,Sandra Goes to Whistler (2005)
Otto Miranda,South Solitary (2010)
Lech Katarzyna,Malgorzata (2010)
Simeoni Vjeran,Ajde dan... prodji... (2006)
Murray Eamon,Shadow Silence (1995)
Dedaj Mickey,Dialogue avec mon jardinier (2007)
Vasilev Raicho,Ninja (2009)
Heredia Ángel,El soplón asesino (1994)
Meyers Rhona,The Removers (2001)
Frajt Bozidarka,Licem u lice (1963)
Besserer Eugenie,Illusion (1929)
Prince Korie Tristan (II),World of Wargames (2010)
Yürür Cavit,Küçük beyin kismeti (1963)
Slaboszowska Zofia,Spotkania w mroku (1960)
Hynes Robert,Lady Godiva (2008)
d'Inès Denis,Les deux gamines (1951)
Rhodes Betty Jane,Halfway to Heaven (1944)
Matsumoto Naoki (II),Onryo sakura dai-sodo (1956)
Denisova Aleksandra,Lyubov Serafima Frolova (1968)
El-Hariri Omar,Wahabtak hayati (1956)
Goebel Fred,Napoleon ist an allem schuld (1938)
Ferguson Andrew (I),The 13th Floor (1988)
McGown Elaine,Terms of Endearment (1983)
Miller Billy (I),The Mole People (1956)
Bahian Japh,Tarot (2009)
Kotto Maka,A Silent Love (2004)
Stock Valeska,Fiaker Nr. 13 (1926)
McEnery Jeff,Camille (2008)
Williams Todd Stereo,Hannah vs the Honeybun (2011)
DeHaven Flora Parker,Never Again (1920)
Roehn Franz,The Fly (1958)
Flens Karl Erik,Ryttare i blått (1959)
Stukov Fyodor,Medovyy mesyats (1991)
Grabbert Günther,Weil ich dich liebe (1970)
Hamdi Imad,Bent el cheikh (1967)
Gieler Csaba,Csapd le csacsi! (1992)
Camp Lacy,The Other Side (2011/V)
Sachs Miriam,Loreley (2001)
Roderick George,Five Survive (1971)
Nari (I),Kapala Likhana (1991)
Sanders Craig (II),Morbid (2013)
Malikenzou Ersi,Apostasi (2006)
Gelfo Ross,In My Father's House (2011)
Pappas Alexandria,Black and Blue (2005)
Abercrombie Ian,Flicks (1987)
Pêra Amora,Marcelo Yuka no Caminho das Setas (Marcelo Yuka: Follow the Signs)
Juvin Claudia,Dos mas uno igual a dos (1968)
Kirkman Christina,Dr. Seuss' The Cat in the Hat (2003)
Anderzon Kim,Kärlekens XYZ (1971)
Garrett Sharon,Speedway (1968)
Gilmer Ryan J.,ChessDogs (2012)
Smyrner Ann,Die schwarze Kobra (1963)
Lekka Vicky,O mikros Indianos (2002)
Reaney Danaka,Cavemen with Coffee (2005)
Carr Trent,Curtis's Charm (1995)
Sanyal Pahadi,Bamuner Meye (1949)
Nagisa Rina,Osanazuma: Zekkyô (1976)
Jarrett Adrian,West (2007)
Caulfield Ward,Pardon My Glove (1922)
Stellato Angelo,Space Zombies: 13 Months of Brain-Spinning Mayhem! (2004)
Bosco Anthony (I),Unbreakable (2000)
Paeschke Georg,Der Todesbote (1920)
Gladkova Nastasya,Larets Marii Medichi (1982)
Butler Paul (I),Strictly Business (1991)
Dumas Leila,Outremer (1990)
Han Ying-Chieh (I),Po jie (1977)
Tuuri Oke,Kalle-Kustaa Korkin seikkailut (1949)
Wallace Trevor (V),Babe (1981)
Bennett Joan (I),The Divine Lady (1929)
Dunn John (II),The Mating Habits of the Earthbound Human (1999)
Thompson Ray (I),Luke Locates the Loot (1916)
Diamant Illana,Doar Tz'vaee Hof Eilat (1989)
Lake Alan (I),The Office Party (1976)
David Akiva,The Nutthouse (2006)
Maude Arthur,Jess (1914)
Alotta Giuseppe,Bathman dal pianeta Eros (1982)
Amaral Lira,Os Cornos de Cronos (1991)
Papatheodorou Niki,Oi fotografoi (1998)
Pak Fung-sin,Bai niao chao huang (1961)
Alkan Altan,Bu ikiliye dikkat (1985)
Angelina Diana,Cover Story (1993)
McGoohan Catherine,Nothing Personal (1995)
Young Danny (I),Dead Wood (2013)
Nichols George (I),Winning Back His Love (1910)
Belini Nantia,I anthopolis ton Athinon (1945)
Yvonneck,Souris d'hôtel (1928)
Hara Seiji,Joôbachi (1958)
Miller Omar Benson,The Sorcerer's Apprentice (2010)
Xan Aware,Bekhal's Tears (2006)
Mojseyenko Yekaterina,Chipollino (1972)
Deichstetter Matthias,Trillertrine (1991)
Amaral Yara,Nos Embalos de Ipanema (1978)
Rausnitz Jenny,Der König der Bernina (1957)
Keyes Stephen (II),Cattle Call (2006)
Chadwick Cyril,Marrying Money (1915)
Tamiya Jiro,Yellow Dog (1976)
Stankovic Dragan (I),Necista krv (1997)
Cederlund Gösta,Åh en så'n advokat (1940)
Hoxie Al,Pals of the West (1927)
Buxton Jamie,Rainbow Around the Sun (2008)
Grainer Rel,Five on a Treasure Island (1957)
Houston Donald (I),The Viking Queen (1967)
Gonzalez Christopher (I),A Gang Land Love Story (2010)
Puri Rajika,Lost & Found (1995)
Wells Deborah,Mamma (1997)
Sánchez Mario Ernesto,Below the Belt (1980)
Sullivan Curtis,Magic Flute Diaries (2008)
Bergman Arthur,The Great Skycopter Rescue (1980)
Hirota Kyoko,Bed Partner (1988)
Esposito Jennifer,Summer of Sam (1999)
Gasset Manuel,Carmen fra i rossi (1939)
Dickinson Sandra,The Magician's Wife (2010)
Palmer Blake,Chestmates (1988)
Kentmen Hulusi,Sokak Kizi (1966)
Leemput Sr. Jef Van,De wonderdokter (1936)
Conkel Josh,Love You Back (2009)
Forrest Stephanie (II),Southwest (2013)
Potapov Aleksandr (I),Lyumi (1991)
Shepherd Forba,Birdshot Mountain (2006)
Taboada Antonio (I),Entre sueños (2007)
McGarry Megan (I),Pinot Grigio (1999)
