Thrush Rob,The Studio (2011/II)
Lopez Doug,Still Bittersweet (2007)
Shimada Kyûsaku,Sad Vacation (2007)
Dewaere Patrick,La Madelon (1955)
Nikolic Dragan (I),Balkan ekspres 3 (2009)
Jones Terron,Heads or Tails (2011/I)
Crabbe Buster,King of Gamblers (1937)
Ochoa Jesús,Entre Pancho Villa y una mujer desnuda (1996)
La Rue Eva,Dangerous Curves (1989)
Clark Catherine Ann,Night Eyes Three (1993)
Neidlinger Karen,A Shallow Grave (2012)
Müller Friedel,Spaßvögel (1939)
Beaumont Harry,Linked Together (1912)
Campos Fernando (IV),La niña del gato (1953)
Nikowitz Erich,The Mozart Story (1948)
Hovatta Vuokko,Niko 2: Lentäjäveljekset (2012)
Kerr Kristen,The Package (2012/I)
Fox Jennie,The Scared of Death Society (2010)
Reid W.P.,Stranger Than Fiction 6373: The Candy Kid (1941)
Milne Lesley,Vampire at Midnight (1988)
Davalos Dominique,Love Streams (1984)
Arnold John (VI),L.627 (1992)
Giannone Jay,A Little Push (2012)
Fenn Ingrid,Divine Intervention (2007/II)
Kishibe Ittoku,Ao no toki (2001)
Barrette Michel,Les Boys (1997)
Mayen Valerie,Cleveland I Love You (2012)
Aroca Juan,Carmelo y yo (2000)
Husing Ted,Two Boys and a Dog (1938)
Monagas Lionel,Drums o' Voodoo (1934)
Grant Dougary,Burakku jakku (1996)
Boucher Denis (I),Barbaloune (2002)
Chang Paul (I),Long xiao ye (1982)
Harper Harriet (I),Return from the Ashes (1965)
Ziagos Nicos,Sapounopetra - To hrima sto laimo sas (1995)
Keane Edward,The Payoff (1935)
Bibikov Arseniy,Kaliostro (1918)
Falcón Luciana,Boogie el aceitoso (2009)
DeGarde Adele,The Salvation Army Lass (1909)
Brown Candy Ann,Heart Beat (1980)
Tom Konrad,Jego ekscelencja subiekt (1933)
McCoy Travie,Renee (2012)
Bucks Ed,Justine: A Matter of Innocence (1980)
Mújica Aylín,Desde dentro (????)
Hosny Hassan,Aboud ala el hedoud (1999)
Bond Richard (I),King of the Underworld (1939)
Ebsen Bonnie,Black Magic Woman (1991)
Vicente Sara (II),As Mensagens de Diana (2011)
Hranova Elena,Lyubimetz 13 (1958)
Biagini Isabella,Boccaccio (1972)
Chapuis Emeric,J'ai rencontré le Père Noël (1984)
Stuart Cherrae L.,The Bliss (2006)
Jacox Jermaine,Rhyme and Punishment (2011)
Sattler Natasha,In the Loop (2009)
Teppa Paloma,De rodillas (2008)
Heinonen Mirjami,Kauneuden kuvastin 2 (1954)
Uritescu Valentin,Neînvinsa-i dragostea (1994)
Secker Eloise,True Love (2011/III)
Bozzo Joan Lluís,La parabólica (1996)
Câmara Isabel,Um Brasileiro Chamado Rosaflor (1976)
Duncan Barbara (III),The Sunday Morning Stripper (2003)
Prieto Jorge (I),Lejos de África (1996)
Hunter Chris (I),Christopher Columbus: The Discovery (1992)
Sager Lidya,Free from Fear (2007)
Damici Nick,World Trade Center (2006)
Savolainen Heikki (I),Äidittömät (1958)
Tanaka Yôji (I),Harikomi (2001)
Dunbar Helen,Common Clay (1919)
Raxel Antonio,Victimas de la mafia (1998)
Wieckiewicz Robert,Rózyczka (2010)
Sergeyecheva Margarita,Pozhar vo fligele ili podvig vo ldakh (1973)
Jones John Paul (II),I'll Love You Always (1935)
Rose Marlene,From Fire: An Odyssey of Glass (2007)
Cavan Allan,Brief Moment (1933)
Horton Claude,Under Secret Orders (1937)
Rubin Niki,Catwoman: The Diamond Exchange (2006)
Bobokalonova F.,Malenkie istorii o detyakh kotorye... (1961)
Adami Guido,Il fornaretto di Venezia (1914)
Seano Rafael,Con el viento solano (1966)
Joslin Margaret,The Loafer (1912)
Conrad David A.,Variations on a High School Romance (2010)
White Dorothy (I),The Big Broadcast of 1938 (1938)
Chrétien Aude,Le parfum de la dame en noir (2005)
Summers Amy (I),The Lost Paradise (1914)
Toerck Daryl,Spicy Mac Project (2009)
Noris Bruno,Semmelweis (1981)
Kessler Jeff (II),Devil in the Details (2009)
Müsse Matthias,Mord ist mein Geschäft Liebling (2009)
Hunter Ian (I),Il mistero del tempio indiano (1963)
Steg Danny,Sof Hamis'chak (1996)
Meena (IV),Aakasha Kottayile Sultan (1991)
Bernhard Gösta,Far och flyg (1955)
von Schwindt Wolfgang,Rosen blühen auf dem Heidegrab (1929)
Terry Mark (I),Johnston... Johnston (1995)
Merton John (I),The Gay Cavalier (1946)
Gollová Natasa,Bloudení (1966)
Muscat Mike,Geography Club (2013)
Egri Kati,Hatásvadászok (1983)
Aumont Tina,La révolution n'est qu'un début. Continuons. (1968)
Linda Anita,T-Bird at ako (1982)
Theron Charlize,Monster (2003)
Monti Lila,Tres juntos (2008)
Ventresca Vincent,Sorry (2008/II)
Mannkopff Andreas,André schafft sie alle (1985)
Lausevic Zarko,Savamala (1982)
Esterman Laura,Arranged (2007)
Sun Chun,Bu yao wen wo cong na li lai (1991)
Connor Ken (III),We Are Dad (2005)
Mack Scarlett,Four Times (2009)
Ngasri Ngasrizal,Kecoh betul (2010)
Limon Raymond,Anaheim the Film (2010)
West Randy (I),Tracey and the Bandit (1987)
Corbett Kat,Captive Audience (1999)
Wallace Larry (V),Night Cap (2003)
Littlejohn Gary,Hells Angels on Wheels (1967)
Abeywickrama Joe,Welikathara (1971)
Way Guy,Sky Commando (1953)
Gibbs Jaz,Pariah (2011/I)
Brittingham Terry,Cool Change (1986)
Purchase Bruce,The Quiz Kid (1979)
Uhlig Nathan,Ghost (2012/II)
de la Cruz Mark (I),Tortilla Soup (2001)
Soto La Marina Armando,La tierra del mariachi (1938)
Badoul Auda Mohammed,Passion in the Desert (1997)
Wengraf John,Call Me Madam (1953)
Georgiu Oksana,Muscle Hawk: Electric Light (2012)
Zenne Janis,Ceplis (1972)
Audenino Francisco,Esta tierra es mía (1961)
Chadwick Cyril,Three Live Ghosts (1922)
Chiba Sonny,Ah kaiten tokubetsu kogetikai (1968)
Wood Patricio,Lejos de África (1996)
Reynolds Kate Rose,She Wolf Rising (2011)
Sakai Yutaka (I),Toraburu uichizu Neo! (2011)
Graham Stuart (I),Hideaways (2011)
Boyarskaya Elizaveta,Skazka. Est (2012)
Russell Holly,Bad Guy (2012/I)
Harrison Estelle,On the Jump (1918/II)
Yasmin (I),Beta (1992)
Chiang Ko Ai,Sa dam ying (1976)
David Isabella,Dreams (2009/II)
Ozawa Hitoshi,Yûsha no hihô (2005)
Brenham Kay,Bird in the Sky (2006)
Tonti Carlo (II),Fiona on Fire (1978)
Nuyter 'Chino',Mestizo (1988)
Chazen Debbie,Topsy-Turvy (1999)
Peoples Dottie,Dirty Laundry (2006/I)
Cheema Shafqat,Zill-E-Shah (2008)
Krishnamraju,Amaradeepam (1977)
Dunn Ralph,The Navy Comes Through (1942)
Faghani Alistair,Pretty All the Time (2011)
Kalogirou Spyros,I arhontissa tou limaniou (1969)
Busoni Manlio,L'ultimo pugno di terra (1965)
Riley Megan (II),The Offering (2004)
Prince Lacy,Card Me If You Can (2011)
Hubbard Patrick (V),The Meter (2012)
Martorelli Francisco,Los extremeños se tocan (1970)
Fetter Laura,Outside (1994)
Martín Daniel (I),Las Vegas 500 millones (1968)
Mehra Lal Chand,The Mask of Fu Manchu (1932)
Wan Yeung Ming,Ru mo (1994)
Zotzmann Edeltraut,Die Reise ins Glück (2004)
Orlova Nina,Âme de femme (1926)
Ronan Saoirse,The Lovely Bones (2009)
Pohrte Pat,New Day New Fate (2012)
Oropesa Elizabeth,Bontoc (1977)
Seddon Margaret,Dancing Sweeties (1930)
Milder Andy,Transformers (2007)
Bennett Norman (I),Sylvester (1985)
Bigotti Rodolfo,Giovanni Senzapensieri (1986)
Dollar Aubrey,Children of the Corn II: The Final Sacrifice (1992)
Schlootz Ellen,Tage aus Nacht (2005)
Walker Nella,An American Tragedy (1931)
Langin Richard,Le tre porcelline (1993)
Allemane Benoît,Parajanov. Verjin kolazh (1995)
Sedgwick Eileen,Cyclone Smith Plays Trumps (1919)
Gatbalite Jenneelyn,Silip (1985)
Alloggia Pierre,Mauvaise foi (2006)
Piwowarczyk Jerzy,Comme des rois (1997)
Fønss Aage,Mille Marie og mig (1937)
Harris Mustafa,The Host (2013)
Stephanov Tomi,Target of Opportunity (2005)
Placido Michele,2061: Un anno eccezionale (2007)
Bhagyalakshmi (II),Uyarukm Njan Nadaake (1985)
James Carrie Anne,Walkaway (2010)
Korpela Lauri,Salainen ase (1943)
Fairbrass Craig,Galaxis (1995)
Chauhan Veerendra,Hypnothesis (1996)
Chapman Georgina,The Business (2005)
Scharf Peter (I),Ein Sommer auf dem Lande (1969)
Del Castillo Miguel,Una bara per lo sceriffo (1965)
Williamson Alister,The Oblong Box (1969)
Berghaus Franz,Jakko (1941)
Silva Cassie,Hairspray (2007)
Ruokokoski Erkki,Pulakapina (1977)
Whitman Allen,Satchurated: Live in Montreal (2012)
Lozinski Wlodzimierz,Dziewczeta z Nowolipek (1937)
Okazaki Jirô,Yoru no saizensen: Tôkyô maruhi chitai (1971)
Adlas-Ird Kaisu,Kolm Kartulit (2010)
Lukic-Omoljac Dragan,Druga Zikina dinastija (1986)
Hoskins Bob (I),Beyond the Sea (2004)
Miller Aaron (X),Apollo (2008)
Constanza Dominique,Je suis un assassin (2004)
Lewis Kevin Lee,Supreme Champion (2010)
Bizik Robert (I),Silver Linings Playbook (2012)
Donne Connor,Date or Disaster (2003)
Adair Robyn,A Perilous Chance (1915)
Taylor Vivien,Bathtime (2007)
Jane Thomas,Evilseek (2009)
dela Vega James (I),Pisay (2007)
Rosén Anders,The Reason We Dance (2008)
Jensen Per-Ivar,Hurra for Mamma (2002)
Chatterjee Sulochana,Chhota Bhai (1966)
Sta. Rita Boy,Hindi ka na sisikatan ng araw: Kapag puno na ang salop Part III (1990)
Cummings Irving,The Devil and Miss Jones (1941)
Jansen Wolfgang (I),Der Vetter aus Dingsda (1953)
Head Nathan,Exorcist Chronicles (2013)
Gainey Mike,Time After Time (1979)
Lemkow Tutte,Love and Death (1975)
Damien Madeleine,Je vous ferai aimer la vie (1979)
Vittola Marcelo,Más allá de la aventura (1980)
Douglas Illeana,Alchemy (2005/I)
Namase Katsuhisa,Mayonaka no Yaji-san Kita-san (2005)
Arribas Miguel,Menos mi madre y mi hermana (1978)
Moreno Antonio (I),Lost and Found on a South Sea Island (1923)
de Guzman Teroy,Dancing Master (1979)
Bradley Arnecia,Tricks. (2007)
Paonessa José Antonio,Fantasmas en Buenos Aires (1942)
McCrory Helen,The James Gang (1997)
Pethes Sándor,Tanár úr kérem... (1956)
Farell Claude,Palace Hotel (1952)
Spracklin Abbey,Six to Go (2009)
MacArthur James (I),Third Man on the Mountain (1959)
Vejmelková Eva,Jak básníkum chutná zivot (1988)
Eloriaga Manuel,Prinsipe Teñoso (1941)
Venu Nedumudi,Unnam (2012)
Jones Leo,You Left Your Heart in the City (2011)
Hamilton Linda (I),Separate Lives (1995)
Bangos Kevin,The Raging Bells (2003)
Josephson Sam (II),Keep It Clean (2007)
Mayne Colleen,Jackie Brown (1997)
Twitchell Archie,I Wanted Wings (1941)
Hopkinson B.W.,Secret Marriage (1919)
Hooven Robert,TKO (2007)
Crawford MacKay,Hippie Hippie Shake (????)
Grey Wilson,Se Segura Malandro! (1978)
Koucká Jirina,Paleta lásky (1976)
Bruce Nigel,I Was a Spy (1933)
Bolt David (I),Videodrome (1983)
Steele Bob (I),The American Badger (1921)
Melati Rima,Arini (1987)
Busnel François,Des illusions (2009)
Lehtinen Ilja,Suolaista ja makeaa (1995)
Alma Marian,Margot de Plaisance (1919)
Hamilton Margaret (I),13 Ghosts (1960)
Inosanto Dan,Big Trouble in Little China (1986)
Aubrey Jimmy,The Last Crooked Mile (1946)
Reyes Jorge (I),La liga de las canciones (1941)
Gope,Mehbooba (1954)
Roninson Gotlib,Korabli shturmuyut bastiony (1953)
Shobana (I),Suryaputrulu (1996)
McKenna Alan (IV),Shakespeare Tarantino & The Mitchell Brothers (2009)
López Ochoa Manuel,Nos lleva la tristeza (1965)
Lim Yu Beng,Mei man ren sheng (2006)
Keith Isabelle,Her Wild Oat (1927)
Huang Man (I),Nu ren yu xiao tou (1963)
Shaw Harold M.,The Modern Dianas (1911)
Yi Guang,Tai Ping Yang zhi sha (1960)
Renschke Camilla,Jungs zum Anfassen (2002)
Joyce Tim (III),The Bilbee Boys (2008)
Sharma Tarun (V),Teri Meri Kahaani (2012)
Nakamura Katsuo (I),Closed Note (2007)
Abercrombie Ian,Mousehunt (1997)
Hancock John (I),Sundown: The Vampire in Retreat (1989)
Rawlings James (I),The Best Exotic Marigold Hotel (2011)
Dickey Will,Slow Jam King (2004)
Perry Pascale,The Painted Stallion (1938)
Webster Dwayne,Shootfighter: Fight to the Death (1993)
Broka Baiba,Walsis muza garuma (1992)
Sparshu Cody,Double Booked (2013)
González Iván (I),Errors of the Human Body (2012)
Rooney Mickey (I),Mickey's Little Eva (1928)
Baquero Lucy,El sereno de Bogotá (1945)
Kulick Logan,Rendezvous (2014)
Suzuki Yû (II),Tanikawa Miyuki: Kôkô kyôshi: Yogosu! (2003)
Denner Charles,Le vieil homme et l'enfant (1967)
Perez Tania (II),Angel (2012/III)
Loffredo Gregory,Illégal (2010)
Péron Denise,Mémoire commune (1978)
Mangen Tania,The Nebula Dawn (2006)
Wai Melissa,Gwendoline (1984)
Ciotti Paolo,Il Pianto della Maschera (2003)
Bednob Gerry,White T (2013)
Oberschall Frank,Operation Eichmann (1961)
Blanska Vanda,La fille à la sucette (1976)
Verma Jagdeep,Road to Sangam (2010)
Nixon Marian,We're Rich Again (1934)
Ma Chang,Tian luo fei sha xi yang hong (1976)
Irusta Agustín,La guitarra de Gardel (1949)
Ikeda Tetsuhiro,Sango renjâ (2013)
Theunissen Morné,Faith Like Potatoes (2006)
Schliwanski Xavier,Une pour toutes (1999)
Alain Simon,The Last Kiss (2006)
Baral Michael,Unknown (2011)
Conn Adam,The Morning After (2010/II)
Moran Lee (I),Upper and Lower (1922)
Johnson Rebecca Grace,The Random News Movie (2010)
Blecaute,Tristezas Não Pagam Dívidas (1943)
Reynier Jacques,Le voyageur de la Toussaint (1943)
Sandow Nick,Uninvited (1999)
Gandía Antonio (I),Los que no fuimos a la guerra (1962)
Crowell Josephine,The Wharf Rat (1916)
Oria Elsa,Nasaan ka irog (1937)
Yau Pui-Ling,Xian yu fan sheng (1980)
Chesebro George (I),Days of Buffalo Bill (1946)
Zembrini Néstor,40 años de novios (1963)
Voorhees David (I),Lonesome Luke on Tin Can Alley (1917)
Chapman Marguerite,Navy Blues (1941)
Dommartin Solveig,Bis ans Ende der Welt (1991)
Kulinxha Jeton,Exile (Arben and Eliza)
Güner Günay,Sev beni Behçet (1974)
Norholt Kirsten,Anja og Viktor - brændende kærlighed (2007)
Cornette Ivan,Rolande met de bles (1972)
Padrão Ana,The Lecture (2012)
Cavanagh Paul (I),Rogues of Sherwood Forest (1950)
Lépine Françoise,Belle maman (1999)
Lamberti Zanardi Ottavia,Virus (2003)
Sartorelli Elethea,Precious Memories (2009)
Scales Marcia,A Point of Departure (1974)
Regnier Charles,Lulu (1962)
Standing John,A Pair of Briefs (1962)
Martinelli Alyssa,Gone Too Far (2008)
Wood Ann (III),It's a Pleasure (1945)
Pestonji Pia,Santi Veena (1976)
Le Maitre Martin,To the Death (1993)
Magrill George,You May Be Next (1936)
Riachão Karine,Rádio Gogó (1999)
Boyce Sadya,Misunderstandings (2009)
Mateos Héctor,Quinto patio (1950)
Harris Russ (II),Kuru: The Science and the Sorcery (2010)
Hooi Steve,Johnny Bingo (2009)
Stanton Thomas Scott,The Westerner (2010)
Farnum William,The Bondman (1916)
Gasman David,Immortel (ad vitam)
Rowe Jeremy (I),Campanadas a medianoche (1965)
Waterman Dennis,Cold Justice (1989)
Abreu Anita,Eternidade (1995)
Chang Shan,Qi zheng piao piao (1987)
Strube Cordelia,Blindside (1986)
Parra Carmen (II),Rabia (2009)
Rivas Guillermo (I),Agente 00 Sexy (1968)
Hamilton Roger (II),House of the Generals (2000)
Tso Yan-yung,Xiao bai long (1975)
Burdue Dawn,Caesar and Otto's Summer Camp Massacre (2009)
Kleiser Jeffrey,The Blue Lagoon (1980)
Butler Jerry (I),Mister Billion's Dollar Babies (1988)
Verduzco Abraham,Desperado (1995)
Landrieu Verna,14 Women (2007)
Tyler Harry,Witness to Murder (1954)
Rotibi Sammi,Red Soil (2009)
Berry Milton,Treasure Blind (2008)
Zahrádka Otto,Poslední bohém (1931)
El-Telmisany Tarek,Hassan w Aziza: Qadeyet Amn Dawla (1999)
Wall Floyd,Into the Wild (2007)
Martin Matthew (VIII),Obituary of the Sun (2010)
Gholson John,Headcheese (2008)
Kove Kenneth,Two White Arms (1932)
Keith Sydney,After the Ball (1957)
Sosa Lisa,Brackenridge Park: A Love Story (2012)
Larkowski Charles,Hat Trick (2012)
McCullough William Mark,A Little Distracted (2010)
Stephan Anna,Tania 403 (2002)
Brockway Robin (I),Neil's Party (2006)
Rooks Cam,The 13th of Friday (2008)
Pesek Ladislav,Jarka a Vera (1938)
Herman Charles,Such Is the Kingdom (1911)
Legrand Mirtha,Mi novia es un fantasma (1944)
Kerr Bill (I),The Settlement (1984)
Eskenazi Jean,Bye bye Barbara (1969)
Diaz Vic,Agila ng Maynila (1989)
Walker Pierre,La salamandre (1971)
Kakhiani Marina,Modi vilaparakot (1986)
Hagerman Helge,Laila (1958)
Schmutziger Nicola,La rusna pearsa (1993)
Suzuki Takuji,Sun jaat si mui 3 (2006)
Sullivan Mike (XVI),The TREEzilla! (2011)
Stojkovic Danilo 'Bata',Bubasinter (1971)
Cao Shi Ping,Snow Flower and the Secret Fan (2011)
Pudenz Steven,Programmed to Kill (1987)
Clodic Cédric,Bouquet final (2008)
Safi Bryan (I),Michele and Marcus Bachmann on Homosexuality (2011)
Lewis Harrison,Ghost of Dragstrip Hollow (1959)
Bancroft Anne (I),Rumor Has It... (2005)
Hassan Sabrina,Misteri jalan lama (2011)
Gladdon James,The Horror Club (2011)
Schenková Izabela,Kousek nebe (2005)
Darden Severn,In God We Tru$t (1980)
Willoughby William,Freight (2010)
Kindahl Jullan,Inled mig i frestelse (1933)
Cant Richard,(Past Present Future)
Patrick Shawn Michael,Deja Vu (2006)
La Torre Enzo,Vogliamo i colonnelli (1973)
Lombard Liliane,Les beaux jours du roi Murat (1947)
Ingram Malcolm (II),The Story of Ruth (1981)
Yamazaki Hajime,Atashi wa juice (1996)
Kersey Robert,Miles Away (2011/II)
Padmini (I),Raagini (1958)
Bertrand Jacques (II),Gigi (1958)
Gallaudet John,The Caddy (1953)
Modéen Thor,Kustens glada kavaljerer (1938)
McDowell Malcolm,Chain of Desire (1992)
Lvova Ludmila,Francesco d'Assisi (1966)
Ruiz Angie,Surf School (2006)
Sanabria Marilyn,Call of Duty: Black Ops (2010)
Vita Rosi,Frau Faust (1992)
Rahal Bashar,Conan the Barbarian (2011)
Mayers Frank,Mirrors (2007/I)
Brambell Wilfrid,What a Whopper (1961)
Hammarlund Arvid,Vägen utför (1916)
Gantt Mark,Devil's Highway (2005)
Preis I.,Ori okeanis saidumloeba (1955)
Nicholson Julianne,Snatch. (2000)
Bennett Norris,Downtown Express (2011)
Conlin Michaela,Love the Hard Way (2001)
Lyle Art,Extinction (2014)
Guyer Abigail,People in Pain (2008)
Montgomery Jenny (III),Shaken Daddy Syndrome (2010)
Alban John (I),Blonde Alibi (1946)
Franckh Pierre,The Lady Vanishes (1979)
Hudgens Vanessa,Thunderbirds (2004)
Quiroz Salvador,Amor con amor se paga (1950)
Lombard Carole (I),The Princess Comes Across (1936)
Halldoff Bo,Stenansiktet (1973)
Julian Paul,Guided Muscle (1955)
Furneaux Yvonne,The Master of Ballantrae (1953)
Terra Renato (I),Peppino le modelle e chella là (1957)
Crowe Madeline,Atonement (2007)
Driver Zena,Quarter Life Crisis Movie (2007)
Appiah Abena,Deadmeat (2007)
Philipp Georg,Penge som græs (1948)
Nunes Paulino,Blindness (2008)
Schrader Peter,Night of the Vampire Hunter (2000)
Nakakita Chieko,Kottaisan yori: Nyotai wa kanashiku (1957)
Norton Edgar,Behind That Curtain (1929)
Basinger Kim,While She Was Out (2008)
Srivastava Raju,Baazigar (1993)
Billings Greg,No More Dirty Deals (1993)
Bernardi Nerio,Il re di denari (1939)
Edwards Emilee,Figment (2007)
Lee Han-wi,Bareuge salja (2007)
Anderson Paul Ryan,Water (2012/II)
Priambodo Anggun,Yang tidak dibicarakan ketika membicarakan cinta (2013)
Salcedo Yvonne,Follow - Up Squad (1983)
McMillan Bridget,Carla (2011)
Sims Natasha,Son of Terror (2008)
House Marci T.,Final Breakdown (2002)
Kokkaya Sener,Kutsal Damacana 2: Itmen (2010)
Porter Steve (V),Manhattan gigolò (1986)
Copps Kevin,Darker Every Day (2009)
Indrans,Meerayude Dukhavum Muthuvinte Swapnavum (2003)
Winter Sylvie,Ein großer graublauer Vogel (1971)
Kerman Robert,Big Melons 6 (1985)
Walburn Fred,Street of Memories (1940)
Walker Robert (II),The Railroad Inspector's Peril (1913)
Hall Jon (I),China Corsair (1951)
Mitchell Rhea,The Blindness of Divorce (1918)
Iizuka Shôzô,GôGô Sentai Bôkenjâ Za Mûvî Saikyô no Pureshasu (2006)
Bowen Seth,The Black Rose (2000)
García Mila,Patera Airlines (2006)
Young Gillean,Eudiamonia (2010)
Hill Erik,American Piety (2008)
Chandler Lane,Calling All Marines (1939)
Hofmann Sonia (I),King Queen Knave (1972)
Katz Joshua Keller,Dark of Day (2011)
Gora Claudio,Il piatto piange (1974)
Beristáin Luis,El mártir del Calvario (1952)
Bonar Jefferson,The Road Home (2003)
Malone Landon,Nightshadows (2004)
Clark Jill (III),Where the Red Fern Grows (1974)
Choi Nak-cheon,Robot Taekwon V 3tan! Sujung teukgongdae (1977)
Lam Chiu-Wing,Ren xi gui da (1996)
Mainguy Marie-Noelle,3 saisons (2009)
Meehan Lew,Fighting with Kit Carson (1933)
West Randy (I),Takin' It to the Streets (1986)
Jacobsen Kjeld,Den usynlige hær (1945)
Decleir Jenne,Waiting for Dublin (2007)
Inocencio Rolando,The Strangers (2012)
Stanislas Piotr,Les parties de plaisir de Paola (1981)
Cusimano Veronica,Un uomo nuovo (2011)
Korcova Jana,Omega Doom (1996)
Smoktunovskiy Innokentiy,Liniya smerti (1991)
Idziak Boleslaw,Kazimierz Wielki (1976)
Seré Marino,Malambo (1942)
Lennix Harry,Stand Down Soldier (2013)
Wyszynski Stanislaw,Zabij mnie glino (1988)
Hasegawa Kazuo,Tôhô sen'ichi-ya (1947)
Nayak Ghanshyam,Andolan (1995)
Freire Napoleão Muniz,Cara a Cara (1967)
Galler Klaus,Hans Röckle und der Teufel (1974)
De Sales Francis,Jailhouse Rock (1957)
Grau Hans-Joachim,Der Krieg meines Vaters (1985)
Margiotta Adolfo,Quentin (1998)
Hurley Doug (I),Mom (2012/II)
Deb Dilip,Bilambita Lay (1970)
Navarre René,La rencontre (1914)
Mehra Vinod,Bees Saal Pehle (1972)
Glessing Mollie,The Quatermass Xperiment (1955)
Feller Thorsten,Free Rainer (2007)
White Beverly (I),The White Girl (1990)
Yelchin Anton,Like Crazy (2011)
Kim Isaac,The Guest Speaker (2012)
Madhav Venu,Konchem Touchlo Vunte Cheputanu (2005)
Bindoy,Pitong Zapata (1965)
Summers Anastasia,In Her Shoes (2005)
Jacobson Glenn (I),Trick or Treats (1982)
Aldeguer Nacho,Sheeple (2012)
Bui-The Marjolaine,Sai Gon nhat thuc (2007)
Kitano Takeshi,Kantoku · Banzai! (2007)
Shadis John,Pressure Point (1997)
Kinney Sean (I),Rubbernecking (2000)
Schairer Gisela,Ich kenn keinen - Allein unter Heteros (2003)
Steindler Milan,Ulovit miliardare (2009)
Goodall Grace,$1000 a Touchdown (1939)
Anghela Georgia,Offerta indecente (1995)
Messner Rebekah,Amused (2011)
Khan Huma,Diljalaa (1987)
Sena Rudy,Young Guns II (1990)
Velasco Onyok,Biyaheng langit (2000)
Patrick Randal (I),Born in East L.A. (1987)
Burke Victor (I),Welcome to September (2005)
Bishop Wes,The Scavengers (1969)
Jay Zachariah,Even Money (2006/I)
Drake Karen,Male Service (1966)
Phipps Sally,News Parade (1928)
Conway Alissa,For Goodness Shakes (2011)
Decker Jennifer (I),Jeux de haute société (2003)
Cosimo Fiore,The Eternal City (2008)
Bucko Ralph,Sunset Pass (1946)
Jeong Ji-ho,Joo-yoo-so-seup-gyeok-sa-geon-too (2010)
Albin Osvald,Tanková brigáda (1955)
LaMarr Phil,Zambezia (2012)
Sakaguma Takahiko,Metal Gear Solid: Portable Ops (2006)
Figueras Elena,Sexo oral (1994)
Bhardwaj Brahm,Roti Kapada Aur Makaan (1974)
Patel Sweta,Mardani (1983)
Stevens Fisher,Fake (2011/II)
Hinrichs Erica,Lie to Me (2008)
Mayne Ferdy,The Spider's Web (1960)
Söderman Erik,Jens Månsson i Amerika (1947)
Lombard Joachim,C'è Kim Novak al telefono (1994)
Alston Spencer,Silent Night Deadly Night (1984)
Watkins Maurice,Miami Noir: The Arthur E. Teele Story (2008)
Nagel Lyn,Joe the King (1999)
Mo Zhijiang,Wu duo Jinhua (1959)
Argo Victor,Personal Sergeant (2004)
Brys Andrea,Holy Ghost People (2013)
Santigosa Manuel,La reina del cielo (1959)
Galiardo Juan Luis,Buñuel y la mesa del rey Salomón (2001)
Mayo Melvin,The Death Web (1915)
Legal Marga,Die Liebe und der Co-Pilot (1961)
Antonini Artemio,Ci risiamo vero Provvidenza? (1973)
Lynn Jenny (III),Too Hot to Stop (1989)
Flanagan Walter (II),Shakedown (1988)
Chambers David Kirk,Teenage Bonnie and Klepto Clyde (1993)
Klingvall Emil,Jalla! Jalla! (2000)
Azaceta Adrián,Antigua vida mía (2001)
Babay Árpád,A nyaraló (1992)
Tanuja (I),Yaadgaar (1984)
Darshan (I),Sholay (1975)
Besilly Lily,Utes Ende (2003)
Eby Earl,It Happened in New York (1935)
Yared Petra,Blurred (2002)
Cembrzynska Iga,Jak to sie robi (1974)
Astin John,Move Over Darling (1963)
Gallagher Peter (I),The Cabinet of Dr. Ramirez (1991)
Trigger (I),Son of Paleface (1952)
Mendes José (III),Pára Pedro! (1969)
Silvia Jane,Little Sister (2000)
Francisco Lito,Bella Bandida (1971)
Petelius Pirkka-Pekka,Pölhölä (1981)
Paseka Lawton,Happy the Clown (2011)
Germain Laurent,Le coma des mortels (2004)
Smigelski David,Brown Eyed Girl (2001)
Belmore Lionel,Stop Look and Listen (1926)
Klika Frantisek,Veliká prílezitost (1950)
Booth Brandon,Everyman's War (2009)
Leggi Alfredo,Il commissario (1962)
Kuroki Hitomi,Utahime (2012)
Reynolds Ryan (I),Waiting... (2005/I)
Day Marceline,The Cameraman (1928)
Sourdillion Agnès,De nouveau lundi (2003)
Simpson Alan (VIII),The Crusaders #357: Experiment in Evil! (2008)
Mann Michael (I),Hancock (2008)
Arnold Jessie,Washington Story (1952)
McGowan Patrick (II),Caged (2006)
Turtschaninoff Igor,Tropic of Ice - Jään kääntöpiiri (1987)
Fernandez Eddie J.,Wicker Park (1999)
Schumacher Kim (I),Psychedelic Adventure (1967)
Muñoz Nilda,Todos somos estrellas (1993)
Sorich Michael,The Lord of the Rings: The War of the Ring (2003)
Kucherawy Karen,Wish You Were Dead (2002)
Dabinpons Guillaume,Dirty Movie (2013)
Zabka William,The Karate Kid (1984)
Cifre Jaime,La ciudad de los pasos perdidos (2005)
Bowersox Robert,Anthill (2005)
Alexandrescu Alexandru (II),Stejar extrema urgenta (1973)
Miholjevic Boris,Lopovi prve klase (2005)
Aghazaf Fatima,Retorno a Hansala (2008)
Kelston Lauren (I),Death Is No Escape (2012)
Wüst Ida,Fräulein Fähnrich (1929)
